Contenu,Titre de la vidéo,Heure de publication de la vidéo,Durée,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Ont continué de regarder (%),Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
j-f1fZfF7AY,CHEF BIMO,"Jul 15, 2020",634,47.9,0:05:03,,586983,49515.0575,2519,5037648,8.11
iBJN5bmZRLc,! الشاب لعربي قاهر الفتيات,"Jun 17, 2021",1124,38.38,0:07:11,,852828,102198.0772,4434,8892359,6
KY5yG8AgFJ8,مول الحانوته ، للبنات فقط !! GIRLS ONLY,"Dec 3, 2018",412,40.93,0:02:48,,2,0.0937,0,179,0
G7R4plqX3wE,Minecraft Maroc EP#1 *Survival* أجيو تسطاو معانا شوية (Darija),"Oct 30, 2016",608,0.41,0:00:02,,1,0.0007,0,2,0
JJtke8bS3q0,تمرينات التنحيف,"Feb 25, 2021",745,44.42,0:05:30,,502073,46150.9247,2587,4378031,7.8
xtItvl7qGUI,آسف ، لا يوجد عنوان,"May 19, 2020",299,57.82,0:02:52,,528471,25379.925,2265,4394819,8.74
7U5Ti0EoqCg,هاد ناس عايشين ف 2030,"Feb 14, 2020",613,53.53,0:05:28,,417870,38086.5651,1197,4803264,6.5
r2U84Baq-KA,أغنى طفل في المغرب,"Nov 30, 2019",601,51.14,0:05:07,,548150,46798.4533,3020,5469230,7.26
dF9MEatE_C0,BILAL MOUHOUCH - AMTAL CHA3BIA | أمثال شعبية,"Jun 21, 2016",284,15.51,0:00:43,,2,0.0244,0,1,0
0yh2etGfQK8,( فيديو كليب تسمعلو ، تصماك ( تحذير,"Dec 7, 2020",481,50.86,0:04:04,,440268,29920.8025,2105,3878619,8.13
wC8ue9Sf9BU,B-MO | Low Cast Away parkour and free run morroco,"Jan 27, 2016",7,122.73,0:00:08,,1,0.0024,0,0,
NdbyXfB6LM8,YES YES NOO !,"Apr 3, 2022",436,61.96,0:05:04,,423059,35787.5094,596,4540435,6.19
